batter,total_runs,balls_faced,times_out,strike_rate,average
A Adekunle,9,26,3.0,34.61538461538461,3.0
A Ahmadhel,2,15,2.0,13.333333333333334,1.0
A Aikenhead,53,55,5.0,96.36363636363636,10.6
A Aitken-Drummond,116,152,9.0,76.31578947368422,12.88888888888889
A Akhigbe,44,86,7.0,51.162790697674424,6.285714285714286
A Akurut,4,21,4.0,19.047619047619047,1.0
A Alexander,3,9,2.0,33.33333333333333,1.5
A Alfonso,5,6,1.0,83.33333333333334,5.0
A Amado,16,20,2.0,80.0,8.0
A Andriani,3,11,2.0,27.27272727272727,1.5
A Argyropoulou,130,219,11.0,59.3607305936073,11.818181818181818
A Ashokan,206,172,6.0,119.76744186046511,34.333333333333336
A Athanaze,152,117,6.0,129.9145299145299,25.333333333333332
A Augastin,12,16,3.0,75.0,4.0
A Awasthi,6,32,2.0,18.75,3.0
A Bagai,50,54,2.0,92.5925925925926,25.0
A Balbirnie,805,692,39.0,116.32947976878614,20.641025641025642
A Beresford-Peirse,48,80,4.0,60.0,12.0
A Bester,39,53,6.0,73.58490566037736,6.5
A Bhadauria,21,18,1.0,116.66666666666667,21.0
A Bhagwat,1,6,2.0,16.666666666666664,0.5
A Bhargava,5,3,1.0,166.66666666666669,5.0
A Bhattarai,2,3,1.0,66.66666666666666,2.0
A Bierwisch,111,185,8.0,60.0,13.875
A Bishnoi,5,11,1.0,45.45454545454545,5.0
A Bohara,3,12,3.0,25.0,1.0
A Bosch,374,337,18.0,110.97922848664687,20.77777777777778
A Bose,2,8,1.0,25.0,2.0
A Brindle,147,149,8.0,98.65771812080537,18.375
A Brown-Carrera,33,50,3.0,66.0,11.0
A Bulow,11,13,1.0,84.61538461538461,11.0
A Bushell,13,22,2.0,59.09090909090909,6.5
A Busing-Volschenk,22,14,2.0,157.14285714285714,11.0
A Canning,28,41,6.0,68.29268292682927,4.666666666666667
A Capsey,320,329,21.0,97.26443768996961,15.238095238095237
A Cespedes,1,16,2.0,6.25,0.5
A Chandel,200,332,13.0,60.24096385542169,15.384615384615385
A Charles,1,5,1.0,20.0,1.0
A Chaubey,1,12,2.0,8.333333333333332,0.5
A Chaudhary,37,27,1.0,137.03703703703704,37.0
A Chilia,74,128,8.0,57.8125,9.25
A Conteh,20,41,4.0,48.78048780487805,5.0
A Cossa,24,40,3.0,60.0,8.0
A Curavic,5,20,3.0,25.0,1.6666666666666667
A Dananjaya,36,42,3.0,85.71428571428571,12.0
A Das,6,7,2.0,85.71428571428571,3.0
A Dastgir,0,2,1.0,0.0,0.0
