batter,total_runs,balls_faced,times_out,strike_rate,average,team
A Adekunle,9,26,3.0,34.61538461538461,3.0,Nigeria
A Ahmadhel,2,15,2.0,13.333333333333334,1.0,Bulgaria
A Aikenhead,53,55,5.0,96.36363636363636,10.6,Jersey
A Aitken-Drummond,116,152,9.0,76.31578947368422,12.88888888888889,Scotland
A Akhigbe,44,86,7.0,51.16279069767442,6.285714285714286,Nigeria
A Akurut,4,21,4.0,19.047619047619047,1.0,Uganda
A Alexander,3,9,2.0,33.33333333333333,1.5,Indonesia
A Alfonso,5,6,1.0,83.33333333333334,5.0,Malawi
A Amado,16,20,2.0,80.0,8.0,Israel
A Andriani,3,11,2.0,27.27272727272727,1.5,Indonesia
A Argyropoulou,130,219,11.0,59.3607305936073,11.818181818181818,Greece
A Ashokan,206,172,6.0,119.76744186046513,34.333333333333336,Czech Republic
A Athanaze,152,117,6.0,129.9145299145299,25.33333333333333,West Indies
A Augastin,12,16,3.0,75.0,4.0,Tanzania
A Awasthi,6,32,2.0,18.75,3.0,Croatia
A Bagai,50,54,2.0,92.5925925925926,25.0,Canada
A Balbirnie,805,692,39.0,116.32947976878614,20.64102564102564,Ireland
A Beresford-Peirse,48,80,4.0,60.0,12.0,Croatia
A Bester,39,53,6.0,73.58490566037736,6.5,France
A Bhadauria,21,18,1.0,116.66666666666669,21.0,Luxembourg
A Bhagwat,1,6,2.0,16.666666666666664,0.5,Hong Kong
A Bhargava,5,3,1.0,166.66666666666669,5.0,Singapore
A Bhattarai,2,3,1.0,66.66666666666666,2.0,Nepal
A Bierwisch,111,185,8.0,60.0,13.875,Germany
A Bishnoi,5,11,1.0,45.45454545454545,5.0,Malta
A Bohara,3,12,3.0,25.0,1.0,Nepal
A Bosch,374,337,18.0,110.97922848664687,20.77777777777778,South Africa
A Bose,2,8,1.0,25.0,2.0,Kuwait
A Brindle,147,149,8.0,98.65771812080536,18.375,England
A Brown-Carrera,33,50,3.0,66.0,11.0,Spain
A Bulow,11,13,1.0,84.61538461538461,11.0,Denmark
A Bushell,13,22,2.0,59.09090909090909,6.5,Guernsey
