bowler,runs_conceded,balls_bowled,wickets_taken,economy
A Adekunle,87,133,7.0,3.924812030075188
A Aitken,13,12,0.0,6.5
A Aitken-Drummond,57,77,5.0,4.441558441558442
A Akhigbe,107,136,6.0,4.720588235294118
A Alexander,73,78,6.0,5.615384615384615
A Amado,8,10,1.0,4.800000000000001
A Andrews,64,62,5.0,6.193548387096774
A Andriani,54,94,8.0,3.446808510638298
A Ashokan,274,238,10.0,6.9075630252100835
A Athanaze,16,7,0.0,13.714285714285714
A Augastin,62,50,3.0,7.4399999999999995
A Awasthi,75,27,1.0,16.666666666666664
A Beresford-Peirse,142,95,4.0,8.968421052631578
A Bester,51,41,3.0,7.463414634146341
A Bhargava,15,13,1.0,6.9230769230769225
A Bierwisch,37,49,4.0,4.530612244897959
A Bishnoi,202,153,8.0,7.921568627450981
A Bohara,957,776,55.0,7.399484536082475
A Bosch,123,97,5.0,7.608247422680412
A Brindle,81,94,7.0,5.170212765957446
A Brown-Carrera,115,150,6.0,4.6000000000000005
A Busing-Volschenk,43,25,2.0,10.32
A Canning,356,355,10.0,6.016901408450704
A Capsey,89,58,2.0,9.206896551724139
A Chandel,276,329,19.0,5.033434650455927
A Chaubey,88,55,0.0,9.600000000000001
A Chaudhary,86,69,3.0,7.478260869565217
A Chenthamara,54,58,6.0,5.586206896551724
A Chilia,36,43,1.0,5.023255813953488
A Conteh,51,49,1.0,6.244897959183674
A Cossa,40,27,1.0,8.88888888888889
A Dalzell,84,80,4.0,6.300000000000001
A Dananjaya,407,312,10.0,7.826923076923077
A Das,74,79,7.0,5.620253164556962
A Davidson-Soler,118,160,3.0,4.425000000000001
A Dcosta,227,232,12.0,5.870689655172414
A Dercksen,122,96,4.0,7.625
A Desai,57,47,4.0,7.276595744680852
A Dhabe,69,48,3.0,8.625
A Dhar,19,6,0.0,19.0
A Dhingra,111,73,7.0,9.123287671232877
A Dirannehelage,51,126,9.0,2.428571428571429
A Djorovic,110,59,1.0,11.1864406779661
A Doddaballapur,141,227,17.0,3.7268722466960353
A Donovan,122,85,1.0,8.611764705882353
A Dutt,225,206,11.0,6.5533980582524265
A Emch,13,9,0.0,8.666666666666666
A Fillie,155,194,13.0,4.7938144329896915
A Flintoff,104,94,4.0,6.638297872340425
A Fujikawa,202,215,10.0,5.637209302325581
A Galan,142,180,8.0,4.733333333333333
A Gardner,880,839,50.0,6.293206197854589
A Gbla,343,299,28.0,6.882943143812708
A Gulati,42,24,2.0,10.5
A Gunasekar,57,47,1.0,7.276595744680852
A Gupta,51,32,0.0,9.5625
A Gurung,198,295,19.0,4.027118644067796
A Hartley,26,32,1.0,4.875
A Hlubi,64,57,4.0,6.7368421052631575
A Husain,134,128,6.0,6.28125
A Ikuzwe,369,460,26.0,4.8130434782608695
A Ilahi,25,28,0.0,5.357142857142858
A Iopu,17,13,1.0,7.846153846153847
A Joshi,43,27,0.0,9.555555555555555
A Kalasi,87,101,6.0,5.1683168316831685
A Kanada,8,13,3.0,3.6923076923076925
A Kanukuntla,107,83,2.0,7.734939759036145
A Kanwal,16,14,1.0,6.857142857142857
A Karmacharya,110,142,10.0,4.647887323943662
A Karn,31,24,1.0,7.75
A Kato-Stafford,18,12,0.0,9.0
A Kaul,11,11,1.0,6.0
A Khaka,719,617,24.0,6.991896272285252
A Khan,56,52,2.0,6.461538461538462
A Kheterpal,256,215,8.0,7.144186046511628
A Khullar,64,64,0.0,6.0
A King,237,253,16.0,5.620553359683795
A Kirschbaum,311,274,14.0,6.81021897810219
A Kohli,318,282,13.0,6.76595744680851
A Konhu,40,41,1.0,5.853658536585366
A Kontopirakis,36,35,1.0,6.171428571428571
A Krishna,137,102,7.0,8.058823529411764
A Kshirsagar,82,70,3.0,7.0285714285714285
A Kuthalingham,6,12,0.0,3.0
A Lazic,13,6,0.0,13.0
A Le Ray,20,28,1.0,4.285714285714286
A Levaci,95,96,7.0,5.9375
A Limdawala,129,87,2.0,8.896551724137932
A Lupascu,37,29,1.0,7.655172413793104
A Magdalenic,25,8,0.0,18.75
A Maheshwari,112,64,2.0,10.5
A Makri,243,247,11.0,5.902834008097166
A Manousis,51,44,2.0,6.954545454545455
A Mansale,65,43,3.0,9.069767441860465
A Mare,242,262,13.0,5.541984732824427
A Martel,200,175,6.0,6.857142857142857
A Mazvishaya,217,199,10.0,6.542713567839195
A Mehmood,59,37,1.0,9.567567567567567
A Mene-Ejegi,155,146,11.0,6.36986301369863
A Merritt,276,291,13.0,5.690721649484535
A Mesarovic,71,86,5.0,4.953488372093023
A Meyenborg,152,146,4.0,6.2465753424657535
A Mishra,152,141,12.0,6.468085106382979
A Mohamed,62,69,3.0,5.391304347826087
A Mohammed,692,735,35.0,5.648979591836735
A Mokgotlhe,282,278,8.0,6.086330935251798
A Mongar,18,6,0.0,18.0
A Morris,320,254,10.0,7.559055118110236
A Munisar,148,155,4.0,5.729032258064516
A Nagarajan,66,38,1.0,10.421052631578949
A Nanda,452,346,17.0,7.8381502890173405
A Nao,206,224,17.0,5.517857142857142
A Nathwani,147,98,6.0,9.0
A Natubhai Ahir,128,138,7.0,5.565217391304348
A Ndiraya,24,36,3.0,4.0
A Ndlovu,104,78,1.0,8.0
A Nehra,355,263,17.0,8.098859315589355
A Neill,92,77,6.0,7.1688311688311686
A Nel,24,24,0.0,6.0
A Nortje,610,490,35.0,7.469387755102041
A Obulor,99,96,6.0,6.1875
