bowler,runs_conceded,balls_bowled,wickets_taken,economy,team
A Adekunle,87,133,7.0,3.924812030075188,Nigeria
A Aitken,13,12,0.0,6.5,Scotland
A Aitken-Drummond,57,77,5.0,4.441558441558442,Scotland
A Akhigbe,107,136,6.0,4.720588235294118,Nigeria
A Alexander,73,78,6.0,5.615384615384615,Indonesia
A Amado,8,10,1.0,4.800000000000001,Israel
A Andrews,64,62,5.0,6.193548387096774,Switzerland
A Andriani,54,94,8.0,3.446808510638298,Indonesia
A Ashokan,274,238,10.0,6.907563025210084,Czech Republic
A Athanaze,16,7,0.0,13.714285714285714,West Indies
A Augastin,62,50,3.0,7.439999999999999,Tanzania
A Awasthi,75,27,1.0,16.666666666666664,Croatia
A Beresford-Peirse,142,95,4.0,8.968421052631578,Croatia
A Bester,51,41,3.0,7.463414634146341,France
A Bhargava,15,13,1.0,6.9230769230769225,Singapore
A Bierwisch,37,49,4.0,4.530612244897959,Germany
A Bishnoi,202,153,8.0,7.921568627450981,Malta
A Bohara,957,776,55.0,7.399484536082475,Nepal
A Bosch,123,97,5.0,7.608247422680412,South Africa
A Brindle,81,94,7.0,5.170212765957446,England
A Brown-Carrera,115,150,6.0,4.6000000000000005,Spain
A Busing-Volschenk,43,25,2.0,10.32,Namibia
A Canning,356,355,10.0,6.016901408450704,Ireland
A Capsey,89,58,2.0,9.20689655172414,England
A Chandel,276,329,19.0,5.033434650455927,Japan
A Chaubey,88,55,0.0,9.6,Croatia
A Chaudhary,86,69,3.0,7.478260869565217,Singapore
A Chenthamara,54,58,6.0,5.586206896551724,Kuwait
A Chilia,36,43,1.0,5.023255813953488,Vanuatu
A Conteh,51,49,1.0,6.244897959183674,Gambia
A Cossa,40,27,1.0,8.88888888888889,Mozambique
A Dalzell,84,80,4.0,6.300000000000001,Ireland
A Dananjaya,407,312,10.0,7.826923076923077,Sri Lanka
A Das,74,79,7.0,5.620253164556962,India
A Davidson-Soler,118,160,3.0,4.425000000000001,Spain
A Dcosta,227,232,12.0,5.870689655172414,Oman
A Dercksen,122,96,4.0,7.625,South Africa
A Desai,57,47,4.0,7.276595744680852,United States of America
A Dhabe,69,48,3.0,8.625,Sweden
A Dhar,19,6,0.0,19.0,Cayman Islands
A Dhingra,111,73,7.0,9.123287671232877,Luxembourg
A Dirannehelage,51,126,9.0,2.428571428571429,Cyprus
A Djorovic,110,59,1.0,11.1864406779661,Serbia
A Doddaballapur,141,227,17.0,3.7268722466960353,Germany
A Donovan,122,85,1.0,8.611764705882353,Philippines
A Dutt,225,206,11.0,6.5533980582524265,Netherlands
A Emch,13,9,0.0,8.666666666666666,Argentina
A Fillie,155,194,13.0,4.793814432989692,Sierra Leone
A Flintoff,104,94,4.0,6.638297872340425,England
A Fujikawa,202,215,10.0,5.637209302325581,Japan
A Galan,142,180,8.0,4.733333333333333,Argentina
A Gardner,880,839,50.0,6.293206197854589,Australia
A Gbla,343,299,28.0,6.882943143812708,Sierra Leone
A Gulati,42,24,2.0,10.5,Bahamas
A Gunasekar,57,47,1.0,7.276595744680852,Oman
A Gupta,51,32,0.0,9.5625,Norway
A Gurung,198,295,19.0,4.027118644067796,Bhutan
A Hartley,26,32,1.0,4.875,Spain
A Hlubi,64,57,4.0,6.7368421052631575,South Africa
A Husain,134,128,6.0,6.28125,Argentina
A Ikuzwe,369,460,26.0,4.8130434782608695,Rwanda
A Ilahi,25,28,0.0,5.357142857142858,Belgium
A Iopu,17,13,1.0,7.846153846153847,Samoa
A Joshi,43,27,0.0,9.555555555555555,Czech Republic
A Kalasi,87,101,6.0,5.1683168316831685,Thailand
A Kanada,8,13,3.0,3.692307692307693,Japan
A Kanukuntla,107,83,2.0,7.734939759036145,Germany
A Kanwal,16,14,1.0,6.857142857142857,Hong Kong
A Karmacharya,110,142,10.0,4.647887323943662,Nepal
A Karn,31,24,1.0,7.75,Nepal
A Kato-Stafford,18,12,0.0,9.0,Japan
A Kaul,11,11,1.0,6.0,Singapore
A Khaka,719,617,24.0,6.991896272285252,South Africa
A Khan,56,52,2.0,6.461538461538462,Denmark
A Kheterpal,256,215,8.0,7.144186046511628,Hungary
A Khullar,64,64,0.0,6.0,Finland
A King,237,253,16.0,5.620553359683795,Australia
A Kirschbaum,311,274,14.0,6.81021897810219,Argentina
A Kohli,318,282,13.0,6.76595744680851,Germany
A Konhu,40,41,1.0,5.853658536585366,France
A Kontopirakis,36,35,1.0,6.171428571428571,Italy
A Krishna,137,102,7.0,8.058823529411764,Singapore
A Kshirsagar,82,70,3.0,7.0285714285714285,Czech Republic
A Kuthalingham,6,12,0.0,3.0,Turks and Caicos Island
A Lazic,13,6,0.0,13.0,Serbia
A Le Ray,20,28,1.0,4.285714285714286,Other
A Levaci,95,96,7.0,5.9375,Fiji
A Limdawala,129,87,2.0,8.896551724137932,Malawi
A Lupascu,37,29,1.0,7.655172413793104,Romania
A Magdalenic,25,8,0.0,18.75,Croatia
A Maheshwari,112,64,2.0,10.5,Croatia
A Makri,243,247,11.0,5.902834008097166,Greece
A Manousis,51,44,2.0,6.954545454545455,Greece
A Mansale,65,43,3.0,9.069767441860463,Vanuatu
A Mare,242,262,13.0,5.541984732824427,Qatar
A Martel,200,175,6.0,6.857142857142857,Guernsey
A Mazvishaya,217,199,10.0,6.542713567839195,Zimbabwe
A Mehmood,59,37,1.0,9.567567567567568,Hong Kong
A Mene-Ejegi,155,146,11.0,6.36986301369863,Serbia
A Merritt,276,291,13.0,5.690721649484535,Jersey
A Mesarovic,71,86,5.0,4.953488372093023,Serbia
A Meyenborg,152,146,4.0,6.2465753424657535,Germany
A Mishra,152,141,12.0,6.468085106382979,India
A Mohamed,62,69,3.0,5.391304347826087,Tanzania
A Mohammed,692,735,35.0,5.648979591836735,West Indies
A Mokgotlhe,282,278,8.0,6.086330935251798,Botswana
A Mongar,18,6,0.0,18.0,Bhutan
A Morris,320,254,10.0,7.559055118110236,Cayman Islands
A Munisar,148,155,4.0,5.729032258064516,West Indies
A Nagarajan,66,38,1.0,10.421052631578949,Qatar
A Nanda,452,346,17.0,7.8381502890173405,Luxembourg
A Nao,206,224,17.0,5.517857142857142,Papua New Guinea
A Nathwani,147,98,6.0,9.0,Austria
A Natubhai Ahir,128,138,7.0,5.565217391304348,Panama
A Ndiraya,24,36,3.0,4.0,Zimbabwe
A Ndlovu,104,78,1.0,8.0,Zimbabwe
A Nehra,355,263,17.0,8.098859315589355,India
A Neill,92,77,6.0,7.1688311688311686,Scotland
A Nel,24,24,0.0,6.0,South Africa
A Nortje,610,490,35.0,7.469387755102041,South Africa
A Obulor,99,96,6.0,6.1875,Nigeria
A Orfila,75,51,1.0,8.823529411764707,Gibraltar
A Ostergaard,76,89,2.0,5.123595505617978,Denmark
A Parima,61,42,2.0,8.714285714285714,Cook Islands
A Paul,245,160,10.0,9.1875,Estonia
A Perera,53,49,2.0,6.489795918367348,Canada
A Prashar,51,61,4.0,5.016393442622951,Hungary
A Prince,40,46,1.0,5.217391304347826,Argentina
A Pusthay,96,75,5.0,7.68,Finland
A Rameshan,66,81,9.0,4.888888888888888,Malta
A Rangaswamy,87,88,8.0,5.931818181818182,Botswana
A Razmilic,143,68,2.0,12.617647058823527,Croatia
A Reddy,558,452,19.0,7.407079646017699,India
A Reyes,157,150,13.0,6.279999999999999,Gibraltar
A Salomao,130,133,2.0,5.864661654135338,Mozambique
A Savvani,132,164,8.0,4.829268292682928,Greece
A Sawyer,22,14,0.0,9.428571428571429,Gibraltar
A Shahi,201,149,9.0,8.093959731543624,Cyprus
A Shahzad,59,43,1.0,8.232558139534884,England
A Sharafu,3,1,0.0,18.0,United Arab Emirates
A Sharma,77,67,5.0,6.895522388059701,United Arab Emirates
A Shrubsole,639,708,53.0,5.415254237288136,England
A Shukla,614,503,29.0,7.324055666003977,Croatia
A Simelane,173,93,3.0,11.161290322580644,South Africa
A Sokovagone,25,13,0.0,11.538461538461538,Fiji
A Stocks,171,205,12.0,5.004878048780488,Argentina
A Stoilova,24,9,0.0,16.0,Bulgaria
A Sutherland,334,343,15.0,5.842565597667639,Australia
A Suwanchonrathi,26,44,3.0,3.545454545454546,Thailand
A Symonds,91,64,3.0,8.53125,Australia
A Tagilala,21,21,0.0,6.0,Fiji
A Taylor,30,47,2.0,3.8297872340425534,Cyprus
A Thorpe,171,218,15.0,4.706422018348624,Isle of Man
A Trivedi,15,6,0.0,15.0,Luxembourg
A Turay,75,71,9.0,6.338028169014084,Sierra Leone
A Turkmen,211,205,12.0,6.175609756097561,Turkey
A Vaidya,103,128,8.0,4.828125,Sweden
A Vailoa,53,48,2.0,6.625,Cook Islands
A Vala,311,266,20.0,7.015037593984962,Papua New Guinea
A Venkatesh,173,138,16.0,7.521739130434783,Sweden
A Vessik,123,211,14.0,3.4976303317535544,Estonia
A Wanjira,117,141,7.0,4.97872340425532,Kenya
A Wellington,58,68,7.0,5.117647058823529,Australia
A Wright,207,189,8.0,6.571428571428572,Cayman Islands
A Yon,88,77,5.0,6.857142857142857,St Helena
A Zampa,1787,1439,70.0,7.451007644197359,Australia
A Zimunu,39,32,0.0,7.3125,Zimbabwe
AA Alleyne,617,468,16.0,7.910256410256411,West Indies
AA Banner,17,12,0.0,8.5,Belize
AA Gajic,286,220,16.0,7.800000000000001,Serbia
AA Hussein,55,40,2.0,8.25,Tanzania
AA Jimoh,36,37,3.0,5.837837837837839,Nigeria
AA Navicha,123,99,8.0,7.454545454545455,Mozambique
AA Noffke,23,24,1.0,5.75,Australia
AA Paradkar,19,13,0.0,8.769230769230768,United States of America
AA Patil,439,435,24.0,6.055172413793104,India
AA Rahayu,218,276,21.0,4.739130434782608,Indonesia
AAH Bhikari,12,7,1.0,10.285714285714285,Suriname
AAM Eliane,78,63,1.0,7.428571428571429,Cameroon
AAP Atkinson,65,38,3.0,10.263157894736842,England
AAP Rivero,199,237,17.0,5.037974683544304,Argentina
AAhan Achar,28,24,1.0,7.0,Singapore
AB Agarkar,50,39,2.0,7.692307692307693,India
AB Dinda,95,81,7.0,7.037037037037038,India
AB Kamara,170,144,8.0,7.083333333333334,Sierra Leone
AB Kaur,175,157,5.0,6.687898089171974,India
AB Mengoumou,57,25,1.0,13.68,Cameroon
AB Slebsager,66,69,3.0,5.739130434782609,Denmark
ABY Smith,172,184,6.0,5.608695652173913,Philippines
AC Agar,873,743,27.0,7.049798115746972,Australia
AC Botha,57,62,7.0,5.516129032258064,Ireland
AC Brodin,24,24,1.0,6.0,France
AC Douglas,81,100,12.0,4.86,Bermuda
AC Evans,596,445,32.0,8.035955056179775,Scotland
AC Jayangani,790,696,42.0,6.810344827586206,Sri Lanka
AC Kerr,1015,968,49.0,6.291322314049587,New Zealand
AC Mushangwe,23,56,8.0,2.4642857142857144,Zimbabwe
AC Septien,40,73,4.0,3.287671232876712,Other
AC Voges,5,12,2.0,2.5,Australia
ACF Stokes,154,173,10.0,5.341040462427745,Guernsey
AD Diwan Ali,21,19,0.0,6.631578947368421,Belgium
AD Mascarenhas,165,104,4.0,9.519230769230768,England
AD Mathews,644,576,23.0,6.708333333333334,Sri Lanka
AD Russell,1005,667,33.0,9.04047976011994,West Indies
ADL Stokoe,67,74,3.0,5.4324324324324325,Isle of Man
AE Isesele,16,17,2.0,5.647058823529411,Nigeria
AE Paraam,208,134,5.0,9.313432835820896,Singapore
AE Satterthwaite,194,150,5.0,7.76,New Zealand
AF Aoina,122,161,8.0,4.546583850931677,Samoa
AF Ifill,261,222,10.0,7.054054054054054,Cayman Islands
AF Mapu,67,84,1.0,4.785714285714287,Samoa
AF Milne,817,585,34.0,8.379487179487178,New Zealand
AG Cremer,262,230,12.0,6.834782608695653,Zimbabwe
AG Rao,80,88,3.0,5.454545454545454,United States of America
AG Weligamage,228,139,6.0,9.841726618705035,Hungary
AH Maqsood,555,577,31.0,5.7712305025996535,Scotland
AI Chudasama,222,257,13.0,5.182879377431907,United States of America
AIV Benatar,60,71,5.0,5.070422535211268,Gibraltar
AJ Finch,18,6,0.0,18.0,Australia
AJ Hall,39,24,0.0,9.75,South Africa
AJ Hosein,1107,954,37.0,6.962264150943397,West Indies
AJ Kenealy,154,138,2.0,6.695652173913044,Ireland
AJ Parmar,192,202,18.0,5.702970297029703,Norway
AJ Redmond,24,18,2.0,8.0,New Zealand
AJ Turner,40,46,1.0,5.217391304347826,Australia
AJ Tye,606,461,39.0,7.887201735357918,Australia
AJA Samuels,139,108,3.0,7.722222222222221,Cook Islands
AK Bangura,138,121,7.0,6.84297520661157,Sierra Leone
AK Gokoel,110,111,10.0,5.945945945945946,Suriname
AK Gonerara,114,114,6.0,6.0,Fiji
AK Kitchen,3,6,1.0,3.0,New Zealand
AK Maguire,168,128,10.0,7.875,Ireland
AK Markram,347,249,9.0,8.361445783132531,South Africa
AK Muslar,36,25,1.0,8.64,Belize
AK Peters,35,30,1.0,7.0,West Indies
AL Kerai,10,6,0.0,10.0,Sierra Leone
AL Kerrison,40,30,0.0,8.0,Ireland
AL Mangue,73,42,1.0,10.428571428571429,Mozambique
AL Mundundo,39,53,1.0,4.415094339622641,Mozambique
AL Phehlukwayo,568,371,20.0,9.185983827493262,South Africa
AL Seddon,71,51,0.0,8.352941176470587,France
AL Stephen,189,175,14.0,6.48,Vanuatu
AL Tiwari,21,15,0.0,8.399999999999999,Oman
AL Watkins,18,25,0.0,4.32,New Zealand
AM Ellis,91,50,2.0,10.92,New Zealand
AM Fernando,141,74,3.0,11.432432432432432,Sri Lanka
AM Guruge,22,25,2.0,5.28,United Arab Emirates
AM Hardie,310,222,13.0,8.378378378378379,Australia
AM Healey,108,148,7.0,4.378378378378378,Germany
AM Kamara,415,455,15.0,5.472527472527473,Sierra Leone
AM Kimote,756,618,45.0,7.339805825242718,Tanzania
AM Kupito,12,8,0.0,9.0,Samoa
AM Patel,30,29,1.0,6.206896551724139,Panama
AM Peterson,165,133,6.0,7.443609022556391,New Zealand
AM Phangiso,142,104,7.0,8.192307692307693,South Africa
AM Rajpurohit,82,43,2.0,11.44186046511628,Gambia
AM Zepeda,156,179,4.0,5.229050279329609,Austria
AN Davidson-Richards,22,19,3.0,6.947368421052632,England
AN Hyobeom,46,33,1.0,8.363636363636363,South Korea
AN Kelly,524,530,50.0,5.932075471698113,Ireland
AN Lascu,150,106,8.0,8.49056603773585,Romania
AN Toube,68,55,2.0,7.418181818181818,Cameroon
AO Suji,27,19,1.0,8.526315789473685,Kenya
APC Kilowan,20,21,3.0,5.7142857142857135,South Africa
AR Adams,90,73,4.0,7.397260273972603,New Zealand
AR Bisht,9,6,0.0,9.0,Oman
AR Cusack,370,325,24.0,6.830769230769231,Ireland
AR Leo,79,64,7.0,7.40625,St Helena
AR McBrine,239,206,9.0,6.961165048543689,Ireland
AR Menon,12,6,0.0,12.0,Singapore
AR Naidoo,52,18,0.0,17.333333333333332,Cayman Islands
AR Nurse,220,164,6.0,8.048780487804878,West Indies
AR Patel,710,584,30.0,7.294520547945206,India
AR Perez Rivero,20,19,2.0,6.315789473684211,Argentina
AR Puri,501,406,20.0,7.403940886699508,Singapore
AR Ramjani,466,552,47.0,5.065217391304348,Uganda
AR Shetty,32,31,0.0,6.193548387096774,Oman
AR Valdez,149,128,3.0,6.984375,Philippines
AS Abioye,56,43,3.0,7.813953488372094,Nigeria
AS Dean,14,12,0.0,7.0,Canada
AS Hansra,79,73,6.0,6.493150684931507,Canada
AS Joseph,828,539,30.0,9.217068645640074,West Indies
AS Mehmi,132,111,5.0,7.135135135135135,Greece
AS Qwele,104,167,13.0,3.736526946107785,Tanzania
AS Taai,9,24,2.0,2.25,South Africa
AS Wikman,43,34,1.0,7.588235294117647,Italy
AS Withanage,69,45,1.0,9.2,Italy
AS van Beuge,168,145,7.0,6.951724137931035,Netherlands
ASF Sirah,306,254,16.0,7.228346456692914,Philippines
ASS Fletcher,1153,1050,53.0,6.588571428571428,West Indies
ATS Silva,101,87,2.0,6.965517241379311,United Arab Emirates
AU Rashid,1935,1562,81.0,7.432778489116517,England
AUKDS Kalugala,41,26,2.0,9.461538461538462,Cyprus
AV Lalcheta,101,90,3.0,6.733333333333333,Oman
AV Lazarus,18,13,1.0,8.307692307692307,Thailand
AW Hawkins-Kay,26,19,0.0,8.210526315789474,Jersey
AY Patel,48,49,2.0,5.877551020408163,New Zealand
AZ Shah,20,12,0.0,10.0,Fiji
Aakash Chand,69,45,6.0,9.2,Nepal
Aamer Jamal,99,52,2.0,11.423076923076923,Pakistan
Aamer Yamin,13,12,1.0,6.5,Pakistan
Aamir Kaleem,576,482,37.0,7.1701244813278,Oman
Aamir Lal,135,124,6.0,6.532258064516128,South Korea
Aarif Sheikh,116,85,5.0,8.188235294117646,Nepal
Aarnav Patel,54,44,3.0,7.363636363636363,Kenya
Aaron Jones,111,91,5.0,7.318681318681319,United States of America
Aarti Priya,120,128,5.0,5.625,Luxembourg
Aayan Afzal Khan,308,355,24.0,5.205633802816902,United Arab Emirates
Abbas Afridi,396,293,29.0,8.109215017064846,Pakistan
Abbas Ghani,188,133,12.0,8.481203007518797,Hungary
Abdul Bashir,90,62,1.0,8.70967741935484,Germany
Abdul Majid,87,95,5.0,5.494736842105263,Bahrain
Abdul Majid Abbasi,639,674,37.0,5.688427299703264,Bahrain
Abdul Naser Baluch,142,130,6.0,6.553846153846154,Sweden
Abdul Razzaq,131,118,10.0,6.6610169491525415,Pakistan
Abdul Salman Khan,13,13,0.0,6.0,Saudi Arabia
Abdul Samad,31,50,4.0,3.72,Pakistan
Abdul Waheed,70,60,5.0,7.0,Saudi Arabia
Abdul Wahid,204,150,11.0,8.16,Saudi Arabia
Abdul-Shakoor Rahimzei,53,74,4.0,4.297297297297297,Germany
Abdullah Akbarjan,236,210,19.0,6.742857142857143,Austria
Abdullah Jasat,138,103,5.0,8.03883495145631,Panama
Abdullah Mahmood,91,73,3.0,7.479452054794521,Denmark
Abdullah Rana,120,95,9.0,7.578947368421052,Switzerland
Abdullah Sheikh,40,26,0.0,9.230769230769232,Norway
Abdur Razzak,492,407,23.0,7.253071253071253,Bangladesh
Abdur Rehman,48,63,7.0,4.571428571428571,Pakistan
Abeera Waris,55,34,1.0,9.705882352941178,Bahrain
Abhijeet Ahuja,8,12,2.0,4.0,Hungary
Abhishek Sharma,71,54,2.0,7.888888888888889,India
Abrar Ahmed,388,319,22.0,7.297805642633229,Pakistan
Absar Khan,8,6,1.0,8.0,Denmark
Abu Hider,157,90,3.0,10.466666666666669,Bangladesh
Abu Jayed,46,27,1.0,10.22222222222222,Bangladesh
Abubacarr Kuyateh,139,101,5.0,8.257425742574256,Gambia
Abul Farhad,233,160,13.0,8.7375,Czech Republic
Ada Bhasin,192,232,12.0,4.965517241379311,Singapore
Adam Senn,103,116,3.0,5.327586206896552,Cyprus
Adama Kamara,29,30,1.0,5.8,Sierra Leone
Adil Butt,224,189,14.0,7.111111111111111,Eswatini
Adil Khan,72,67,5.0,6.447761194029851,Germany
Aditya Panwar,101,69,6.0,8.782608695652174,Estonia
Adnan Idrees,409,319,19.0,7.692789968652037,Kuwait
Adnan Mirza,120,86,3.0,8.372093023255815,Qatar
Adnan Razzaq,75,53,3.0,8.49056603773585,Belgium
Afida Afthab,33,64,5.0,3.09375,Oman
Afif Hossain,121,91,4.0,7.978021978021978,Bangladesh
Afif Khattak,25,19,1.0,7.894736842105264,Switzerland
Aftab Hussain,205,205,14.0,6.0,Hong Kong
Aftab Kayani,39,32,2.0,7.3125,Romania
Agha Salman,63,44,1.0,8.590909090909092,Pakistan
Ahmad Khalid Ahmadzai,58,52,3.0,6.6923076923076925,Belgium
Ahmad Raza,73,66,2.0,6.636363636363636,Saudi Arabia
Ahmadschah Ahmadzai,24,12,2.0,12.0,Germany
Ahmadullah Shinwari,232,214,16.0,6.5046728971962615,Norway
Ahmed Aqeel,117,102,4.0,6.88235294117647,Malaysia
Ahmed Baladraf,34,36,4.0,5.666666666666666,Saudi Arabia
Ahmed Daniyal,24,25,2.0,5.76,Pakistan
Ahmed Faiz,16,27,1.0,3.555555555555556,Malaysia
Ahmed Hassan,49,52,4.0,5.653846153846153,Switzerland
Ahmed Raza,429,404,10.0,6.371287128712872,United Arab Emirates
Ahmed Shehzad,10,6,0.0,10.0,Pakistan
Ahmed Wardak,108,95,8.0,6.821052631578947,Germany
Ahmer Bin Nisar,6,6,1.0,6.0,Bahrain
Ahsan Khan,170,104,5.0,9.807692307692308,Bulgaria
Ahsan Malik,284,225,18.0,7.573333333333332,Netherlands
Aiman Anwer,530,408,13.0,7.794117647058824,Pakistan
Ainna Hamizah Hashim,606,641,27.0,5.672386895475819,Malaysia
Aishath Meesa Rameez,118,80,3.0,8.850000000000001,Maldives
Aisya Eleesa,353,367,17.0,5.771117166212534,Malaysia
Aizaz Cheema,89,74,6.0,7.216216216216216,Pakistan
Aizaz Khan,992,846,53.0,7.035460992907801,Hong Kong
Ajhar Alam,81,44,1.0,11.045454545454543,Czech Republic
Akhil Anil,204,187,11.0,6.545454545454545,Tanzania
Akhil Arjunan,168,140,5.0,7.199999999999999,Finland
Akhil Kumar,76,65,4.0,7.015384615384615,Canada
Akif Raja,263,235,14.0,6.714893617021277,United Arab Emirates
Akramullah Malikzada,22,12,1.0,11.0,Hungary
Al Maseera Jahangir,13,19,2.0,4.105263157894737,United Arab Emirates
Al-Amin Hossain,408,336,28.0,7.285714285714285,Bangladesh
Alam Nakash,117,93,2.0,7.548387096774194,South Korea
Aleena Khan,141,101,3.0,8.376237623762375,Qatar
Alexandros Karvelas,90,74,2.0,7.297297297297297,Greece
Ali Abdulla Popalzae,22,18,3.0,7.333333333333334,Greece
Ali Dawood,725,704,47.0,6.1789772727272725,Bahrain
Ali Hasan,15,18,0.0,5.0,Italy
Ali Hussain,143,90,2.0,9.533333333333331,Romania
Ali Khan,413,272,11.0,9.110294117647058,United States of America
Ali Masood,208,134,10.0,9.313432835820896,Estonia
Ali Muaaz,1,1,0.0,6.0,Greece
Ali Naqi,32,27,0.0,7.111111111111111,Portugal
Ali Naseer,401,329,23.0,7.31306990881459,United Arab Emirates
Ali Nawaz,135,79,5.0,10.253164556962023,Hungary
Ali Nayyer,526,437,26.0,7.221967963386727,Switzerland
Ali Rasool,88,38,0.0,13.894736842105264,Bulgaria
Ali Saleem,4,6,1.0,4.0,Norway
Ali Sheikh,125,108,9.0,6.944444444444445,United States of America
Ali Waqar,83,72,3.0,6.916666666666666,Czech Republic
Ali Yalmaz,125,77,3.0,9.74025974025974,Hungary
Alice Davis,17,14,1.0,7.285714285714285,Other
Alifiya Sayed,160,179,7.0,5.363128491620111,Oman
Alina Aslam,175,207,8.0,5.0724637681159415,Norway
Aliya Riaz,314,232,12.0,8.120689655172413,Pakistan
Alok Kapali,12,19,2.0,3.789473684210526,Bangladesh
Altaf Gill,59,43,2.0,8.232558139534884,South Korea
Amal Jacob,167,142,5.0,7.056338028169014,Hungary
Amalin Sorfina,42,32,0.0,7.875,Malaysia
Amandeep Singh,101,75,6.0,8.08,Portugal
Amar Sharma,484,401,15.0,7.241895261845388,Malta
Amarpal Kaur,180,200,11.0,5.4,Canada
Amaya Rajapaksha,16,20,0.0,4.800000000000001,Italy
Ameel Mauroof,148,111,7.0,8.0,Maldives
