match_id,total_score
211028,179
211048,214
222678,133
225263,144
225271,163
226374,209
237242,126
238195,201
249227,221
251487,162
251488,115
255954,126
258463,208
258464,169
287853,205
287854,73
287855,171
287856,138
287857,164
287858,188
287860,260
287861,135
287862,141
287863,164
287864,144
287865,190
287866,123
287867,154
287868,189
287869,164
287870,164
287871,147
287872,153
287873,218
287874,101
287875,140
287876,153
287877,143
287878,188
287879,157
291343,186
291356,74
296903,123
297800,166
298795,129
298804,131
300435,184
300436,193
306987,138
306989,191
306991,92
319112,58
319142,97
343764,203
350050,145
350347,118
350475,166
350476,156
351694,182
351695,157
351696,150
352674,121
354456,99
355988,145
355989,163
355991,162
355992,89
355993,169
355994,180
355995,211
355996,185
355997,137
355998,159
355999,175
356000,128
356001,112
356002,192
356003,198
356004,111
356005,150
356006,153
356007,183
356008,99
356009,144
356010,153
356011,161
356012,159
356013,158
356014,130
356015,149
356016,158
356017,138
361530,67
361531,107
361656,137
361660,132
366622,149
366707,155
366708,191
386494,162
386535,171
387563,202
387564,241
391794,151
392615,108
401076,118
403375,172
403385,141
403386,170
406197,179
406198,138
406207,127
412677,138
412678,135
412680,172
412681,120
412682,186
412683,191
412684,84
412685,191
412686,173
412688,141
412689,147
412690,170
412691,184
412692,195
412693,133
412694,168
412695,169
412696,168
412697,148
412698,149
412699,163
412700,105
412701,128
412702,191
412703,147
412716,119
412717,180
412718,106
423391,97
423782,78
423787,118
423788,214
426392,167
426393,162
426417,126
426418,89
426723,161
426724,153
430884,215
430885,206
439139,105
439146,136
439497,142
439499,138
439505,136
439510,151
440945,129
440946,148
446956,133
446960,157
446961,147
447539,120
452153,111
452154,140
456991,120
456992,81
461565,120
463141,168
463142,194
463149,168
473918,143
473919,185
473920,183
474466,136
474476,165
476947,122
478279,119
489212,150
489220,159
492547,134
514023,146
514024,147
516204,198
516205,157
518954,171
518955,131
520595,159
520596,200
520597,147
520598,173
520599,165
521217,120
523735,198
523736,141
525816,125
525817,113
527012,123
527013,187
527683,110
527688,80
527689,166
527690,108
530432,141
531635,144
531636,150
531637,129
531982,132
533272,182
533273,123
533275,93
533276,191
533278,78
533279,191
533280,177
533281,170
533282,129
533283,175
533284,174
533285,179
533286,133
533287,140
533288,148
533289,129
533290,146
533291,128
533292,139
533293,169
533294,149
533295,152
533296,139
533297,205
533298,137
533299,79
533300,117
533301,133
533302,104
533303,151
533304,50
533305,146
533306,116
533307,70
533308,89
533309,98
533310,144
533311,93
533312,115
533313,142
534208,172
534233,118
534234,77
534235,118
538068,135
540173,150
540174,160
542850,137
542851,114
543883,107
543884,131
543885,107
546410,135
546414,71
546442,159
546462,106
546470,114
546473,135
551593,71
551594,150
551595,103
551596,154
551597,139
556252,219
560921,209
560922,177
562437,132
562438,122
564786,155
565810,157
565811,177
565820,167
565844,87
565845,162
566926,201
566927,2
566937,248
566938,195
567071,190
567205,144
567353,86
567354,165
567355,179
567367,195
569237,214
569238,192
569239,139
571148,89
571149,151
571150,168
573019,137
573020,161
573027,191
573672,128
582186,74
584772,100
584923,62
584924,93
584928,82
584929,81
587476,197
588498,113
588499,94
589306,133
589307,192
592268,126
592269,139
592276,113
593726,146
593727,127
593728,91
593986,130
593987,158
602477,198
603243,73
603244,145
603246,122
623571,168
623572,168
627008,145
627009,116
630951,172
635658,115
635659,145
635660,163
636164,213
636165,130
636166,195
636536,170
636537,152
636538,165
640947,65
640955,112
644941,148
645645,152
645647,135
647247,201
648681,80
648683,128
649101,98
649103,150
657633,145
657635,211
659545,161
659547,179
660113,168
660149,183
660173,165
660185,130
660209,146
660223,147
661695,189
661697,159
664293,84
664295,109
666047,98
666049,101
667731,180
667887,183
668515,119
668517,138
668519,109
668959,204
668969,142
682899,149
682901,163
682903,151
682907,126
682909,140
682911,123
682915,108
682917,116
682919,189
682921,130
682923,165
682925,172
682927,191
682929,129
682931,170
682933,39
682935,171
682937,145
