venue,avg_score,nature
"7he Sevens Stadium, Dubai",79.0,Rough (Bowler Friendly)
AMI Stadium,186.33333333333334,Sporting (Batting Friendly)
"Achimota Senior Secondary School A Field, Accra",121.75,Balanced
"Achimota Senior Secondary School B Field, Accra",119.11111111111111,Rough (Bowler Friendly)
Adelaide Oval,159.875,Sporting (Batting Friendly)
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),145.78947368421052,Balanced
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),144.5,Balanced
"Albert Park 1, Suva",140.91666666666666,Balanced
"Albert Park 2, Suva",114.0,Rough (Bowler Friendly)
Albertslund Cricket Club,121.0,Balanced
Allan Border Field,133.5,Balanced
"Allan Border Field, Brisbane",168.0,Sporting (Batting Friendly)
Amini Park,133.83333333333334,Balanced
"Amini Park, Port Moresby",118.11764705882354,Rough (Bowler Friendly)
"Arnos Vale Ground, Kingstown",143.5,Balanced
"Arnos Vale Ground, Kingstown, St Vincent",140.83333333333334,Balanced
Arun Jaitley Stadium,175.0,Sporting (Batting Friendly)
"Arun Jaitley Stadium, Delhi",216.0,Sporting (Batting Friendly)
Arundel Castle Cricket Club Ground,139.0,Balanced
Asian Institute of Technology Ground,95.58333333333333,Rough (Bowler Friendly)
"Asian Institute of Technology Ground, Bangkok",86.25,Rough (Bowler Friendly)
"Ballpark Ground, Graz",167.5,Sporting (Batting Friendly)
Barabati Stadium,136.0,Balanced
"Barabati Stadium, Cuttack",161.5,Sporting (Batting Friendly)
Barsapara Cricket Stadium,127.0,Balanced
"Barsapara Cricket Stadium, Guwahati",229.5,Sporting (Batting Friendly)
Basin Reserve,162.0,Sporting (Batting Friendly)
"Basin Reserve, Wellington",156.5,Sporting (Batting Friendly)
Bay Oval,165.91666666666666,Sporting (Batting Friendly)
"Bay Oval, Mount Maunganui",150.8,Sporting (Batting Friendly)
Bayer Uerdingen Cricket Ground,131.53333333333333,Balanced
"Bayuemas Oval, Kuala Lumpur",112.84375,Rough (Bowler Friendly)
"Beausejour Stadium, Gros Islet",149.26666666666668,Balanced
"Belgrano Athletic Club Ground, Buenos Aires",151.4,Sporting (Batting Friendly)
Bellerive Oval,182.33333333333334,Sporting (Batting Friendly)
"Bellerive Oval, Hobart",147.57142857142858,Balanced
Bermuda National Stadium,141.0,Balanced
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,148.75,Balanced
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",149.0,Balanced
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",155.5,Sporting (Batting Friendly)
Boland Bank Park,97.0,Rough (Bowler Friendly)
Boland Park,146.5,Balanced
"Boland Park, Paarl",146.28571428571428,Balanced
"Botkyrka Cricket Center, Stockholm",145.33333333333334,Balanced
Botswana Cricket Association Oval 1,102.75,Rough (Bowler Friendly)
"Botswana Cricket Association Oval 1, Gaborone",108.6470588235294,Rough (Bowler Friendly)
Botswana Cricket Association Oval 2,95.75,Rough (Bowler Friendly)
"Botswana Cricket Association Oval 2, Gaborone",121.15625,Balanced
Brabourne Stadium,157.875,Sporting (Batting Friendly)
"Brabourne Stadium, Mumbai",185.33333333333334,Sporting (Batting Friendly)
Bready,171.0,Sporting (Batting Friendly)
"Bready Cricket Club, Magheramason",130.25,Balanced
"Bready Cricket Club, Magheramason, Bready",139.44444444444446,Balanced
"Brian Lara Stadium, Tarouba",130.33333333333334,Balanced
"Brian Lara Stadium, Tarouba, Trinidad",146.6,Balanced
"Brisbane Cricket Ground, Woolloongabba",166.4,Sporting (Batting Friendly)
"Brisbane Cricket Ground, Woolloongabba, Brisbane",138.5,Balanced
Buffalo Park,161.0,Sporting (Batting Friendly)
"Buffalo Park, East London",116.7,Rough (Bowler Friendly)
Bulawayo Athletic Club,145.33333333333334,Balanced
Carrara Oval,136.33333333333334,Balanced
"Castle Avenue, Dublin",166.71428571428572,Sporting (Batting Friendly)
"Cazaly's Stadium, Cairns",172.0,Sporting (Batting Friendly)
Central Broward Regional Park Stadium Turf Ground,151.75,Sporting (Batting Friendly)
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",166.6,Sporting (Batting Friendly)
"Centre for Cricket Development Ground, Windhoek",96.1,Rough (Bowler Friendly)
Chilaw Marians Cricket Club Ground,156.0,Sporting (Batting Friendly)
City Oval,133.0,Balanced
"Civil Service Cricket Club, Stormont",106.85714285714286,Rough (Bowler Friendly)
"Civil Service Cricket Club, Stormont, Belfast",147.88888888888889,Balanced
"Clayton Panama, Panama City",117.42857142857143,Rough (Bowler Friendly)
"Clontarf Cricket Club Ground, Dublin",155.0,Sporting (Batting Friendly)
College Field,120.6,Balanced
"College Field, St Peter Port",178.0,Sporting (Batting Friendly)
Colombo Cricket Club Ground,132.5,Balanced
Colts Cricket Club Ground,75.33333333333333,Rough (Bowler Friendly)
Coolidge Cricket Ground,154.0,Sporting (Batting Friendly)
"Coolidge Cricket Ground, Antigua",153.58333333333334,Sporting (Batting Friendly)
County Ground,144.59259259259258,Balanced
"County Ground, Bristol",187.66666666666666,Sporting (Batting Friendly)
"County Ground, Chelmsford",139.2,Balanced
"County Ground, Derby",144.66666666666666,Balanced
"County Ground, Hove",125.33333333333333,Balanced
"County Ground, New Road, Worcester",148.0,Balanced
"County Ground, Northampton",160.5,Sporting (Batting Friendly)
"Daren Sammy National Cricket Stadium, Gros Islet",109.375,Rough (Bowler Friendly)
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",159.1875,Sporting (Batting Friendly)
"Darren Sammy National Cricket Stadium, St Lucia",149.33333333333334,Balanced
De Beers Diamond Oval,194.0,Sporting (Batting Friendly)
